,y,starter,age,max_pts,last_pts,2_yr_trail_avg_fppg,Draft Pick,breakout_age,games_played_rate,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD
35,19.38,0,25.9,118.0,19.36,7.836,3.12,20.1,0.46875,5,1,25,43,58.1,324,2,4.7,1,2.3,13,47,7.5,7.4,13.0,64.8,87.7,72.7,1,8,2.3,7.18,7.07,,
36,234.9196,1,36.1,356.8,293.44,18.47,1.03,20.3,0.9910714285714286,16,16,407,626,65.0,4581,26,4.2,11,1.8,242,63,7.3,7.4,11.3,286.3,93.3,59.8,41,257,6.1,6.48,6.52,,
37,346.7405,1,33.3,302.4,270.56,19.155,1.01,19.6,0.9285714285714286,16,16,339,528,64.2,4084,26,4.9,10,1.9,205,73,7.7,7.9,12.0,255.3,96.3,61.3,38,254,6.7,6.77,6.89,3.0,4.0
38,40.9002,0,31.5,166.4,65.58,7.608,3.11,21.7,0.29464285714285715,5,5,111,179,62.0,1072,7,3.9,5,2.8,57,46,6.0,5.5,9.7,214.4,80.1,29.8,9,53,4.8,5.42,4.97,,
39,9.12,0,26.8,267.4,161.7,15.135000000000002,1.02,22.0,0.796875,10,9,199,297,67.0,2055,16,5.4,8,2.7,124,53,6.9,6.8,10.3,205.5,93.5,53.8,18,125,5.7,6.13,6.0,1.0,1.0
40,16.8,0,32.4,129.6,112.1796,10.9322,3.25,20.6,0.4107142857142857,9,7,202,312,64.7,1852,10,3.2,8,2.6,93,50,5.9,5.4,9.2,205.8,80.8,36.0,18,145,5.5,5.17,4.69,2.0,2.0
41,9.88,0,26.2,131.2,128.28,6.263999999999999,,20.5,0.3958333333333333,10,8,211,326,64.7,2437,12,3.7,12,3.7,120,49,7.5,6.6,11.5,243.7,84.1,36.3,19,139,5.5,6.66,5.79,1.0,1.0
42,16.78,0,26.3,13.52,13.52,3.38,,18.5,0.25,4,1,32,56,57.1,368,1,1.8,5,8.9,17,52,6.6,2.9,11.5,92.0,45.8,9.6,4,31,6.7,5.62,2.2,,
43,374.6596,1,25.7,427.2,380.4,23.03,1.1,19.0,0.71875,15,15,390,588,66.3,4740,38,6.5,6,1.0,238,75,8.1,8.9,12.2,316.0,108.2,78.1,22,147,3.6,7.53,8.33,3.0,3.0
44,248.8206,1,32.5,372.7808,372.7808,21.9994,3.12,19.8,1.0,16,16,384,558,68.8,4212,40,7.2,13,2.3,213,62,7.5,7.9,11.0,263.3,105.1,67.1,47,301,7.8,6.46,6.82,3.0,3.0
45,0.72,1,38.5,300.8,161.7399,17.385550000000002,7.36,20.8,0.7142857142857143,9,7,183,267,68.5,2091,13,4.9,8,3.0,106,70,7.8,7.5,11.4,232.3,95.6,70.9,14,65,5.0,7.21,6.85,1.0,1.0
46,282.3598,1,32.9,351.36,351.36,20.48,1.08,22.1,0.875,16,16,315,481,65.5,3819,33,6.9,7,1.5,202,75,7.9,8.7,12.1,238.7,106.5,72.6,24,173,4.8,7.22,7.9,5.0,6.0
47,170.2404,1,24.0,196.3,145.02,13.592500000000001,1.03,19.3,0.7916666666666666,12,12,217,364,59.6,2208,9,2.5,11,3.0,109,69,6.1,5.2,10.2,184.0,72.7,32.9,35,234,8.8,4.95,4.16,,
48,237.8608,0,28.2,17.0,11.68,11.68,,19.5,0.14583333333333334,1,0,12,19,63.2,137,1,5.3,0,0.0,6,29,7.2,8.3,11.4,137.0,102.3,40.7,1,7,5.0,6.5,7.5,,
49,209.6794,1,28.6,252.2205,252.2205,13.55735,1.32,18.8,0.6041666666666666,15,15,340,492,69.1,3733,15,3.0,11,2.2,174,75,7.6,7.2,11.0,248.9,92.1,56.8,31,205,5.9,6.75,6.37,,
50,386.7398,1,43.8,352.0,349.92,19.384999999999998,6.33,21.1,0.9642857142857143,16,16,401,610,65.7,4633,40,6.6,12,2.0,233,50,7.6,8.0,11.6,289.6,102.2,66.0,21,143,3.3,7.12,7.53,3.0,3.0
51,190.9206,1,23.3,140.46,140.46,14.046,1.05,20.5,0.625,10,9,186,290,64.1,1814,11,3.8,5,1.7,100,35,6.3,6.2,9.8,181.4,87.1,44.8,20,136,6.5,5.41,5.4,2.0,2.0
52,86.7402,1,31.799999999999997,274.4,9.02,3.005,6.15,20.1,0.49107142857142855,2,1,16,30,53.3,208,0,0.0,0,0.0,10,37,6.9,6.9,13.0,104.0,75.4,16.6,2,1,6.3,6.47,6.47,1.0,1.0
