,y,rb?,te?,age,max_ppg,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,Breakout Age,cdr
178,0,1,0,27.3,17.3,17.3,12.333333333333334,0.3333333333333333,4.3,18.6,27.1
179,0,1,0,30.1,4.4,0.7,2.8000000000000003,0.0,,,0.6
184,0,1,0,27.8,10.4,8.5,7.166666666666667,0.0,4.26,22.0,26.9
185,0,1,0,26.0,14.4,10.3,11.466666666666669,0.0,5.13,20.2,41.3
187,0,1,0,22.9,9.9,9.9,9.9,0.0,5.28,19.1,23.9
188,0,1,0,23.5,7.4,7.4,7.4,0.0,,19.8,34.6
197,0,1,0,22.9,17.4,17.4,13.75,0.5,2.16,19.1,24.7
200,0,1,0,22.7,3.0,3.0,3.0,0.0,6.02,20.9,36.5
203,0,1,0,23.5,,,,,,19.8,26.5
210,0,1,0,25.3,1.6,0.4,1.0,0.0,5.18,19.6,25.4
211,0,1,0,24.6,15.3,11.2,13.0,0.3333333333333333,5.11,18.8,29.3
212,0,1,0,23.3,,,,,5.16,20.6,17.1
214,0,1,0,24.9,4.6,4.6,4.6,0.0,5.32,23.1,24.8
216,0,1,0,22.6,6.7,6.7,6.7,0.0,,19.9,21.3
217,0,1,0,26.0,2.7,,1.85,0.0,,20.3,25.9
219,0,1,0,21.3,,,,,1.24,,13.9
224,0,1,0,21.5,,,,,4.11,19.8,21.7
227,0,1,0,23.1,7.6,7.6,7.6,0.0,7.33,18.4,30.7
230,0,1,0,23.4,3.6,3.6,3.6,0.0,4.31,20.7,20.6
232,0,1,0,23.8,20.9,20.9,19.65,1.0,3.22,18.1,28.7
239,0,1,0,30.1,3.1,0.9,1.9000000000000001,0.0,6.14,22.4,28.3
243,1,1,0,25.3,12.5,12.5,8.066666666666668,0.0,3.1,19.6,13.2
244,0,1,0,22.6,,,,,7.08,21.8,19.0
245,0,1,0,21.9,13.9,13.9,13.9,0.0,2.11,19.2,35.8
248,0,1,0,22.9,,,,,,20.2,16.2
252,0,1,0,28.1,5.4,4.5,4.8,0.0,4.33,,15.0
259,0,1,0,29.4,14.9,8.1,10.933333333333335,0.0,6.13,20.6,34.7
260,0,1,0,27.3,26.3,,24.55,1.0,2.16,18.5,45.1
262,0,1,0,30.9,19.8,9.1,15.133333333333333,0.6666666666666666,2.21,19.2,47.1
264,1,1,0,24.4,17.7,15.1,16.4,1.0,1.04,19.6,38.8
268,0,1,0,26.4,4.1,3.7,2.9333333333333336,0.0,,18.7,20.6
273,1,1,0,29.4,17.4,11.9,14.733333333333333,0.3333333333333333,1.28,18.7,32.8
274,0,1,0,22.2,1.8,1.8,1.8,0.0,4.12,18.4,27.5
275,0,1,0,23.2,14.5,14.5,10.95,0.0,4.37,18.5,29.8
277,0,1,0,33.1,13.2,13.2,12.05,0.0,1.12,18.4,31.9
279,0,1,0,24.3,11.6,11.6,9.05,0.0,,19.5,21.8
285,1,1,0,26.1,22.6,22.6,19.966666666666665,1.0,1.15,20.4,47.1
289,0,1,0,23.8,1.1,1.1,1.1,0.0,,19.1,19.8
290,0,1,0,27.3,1.6,1.6,0.7000000000000001,0.0,5.32,,3.3
291,0,1,0,26.3,9.1,9.1,6.633333333333333,0.0,4.27,20.5,23.6
292,0,1,0,26.3,9.1,9.1,6.633333333333333,0.0,,18.3,39.0
296,0,1,0,22.1,,,,,2.21,21.4,21.1
298,0,1,0,22.3,,,,,7.2,18.6,33.5
302,0,1,0,22.9,,,,,7.19,,2.3
303,1,1,0,23.4,12.2,12.2,12.2,0.0,2.03,18.7,31.7
304,0,1,0,22.5,10.1,10.1,10.1,0.0,4.04,20.8,22.6
306,0,1,0,30.1,2.0,2.0,1.6333333333333335,0.0,,,4.4
307,0,1,0,23.8,,,,,,22.1,30.1
309,0,1,0,24.5,5.5,,4.3,0.0,5.1,19.8,28.4
310,0,1,0,24.9,9.4,9.4,6.7,0.0,,21.2,30.9
312,0,1,0,24.9,14.9,14.9,14.9,0.0,,21.1,38.4
314,0,1,0,22.7,,,,,5.14,19.0,26.3
315,0,1,0,27.1,6.4,6.4,2.4,0.0,,,12.3
316,0,1,0,23.3,5.4,5.4,5.4,0.0,1.27,20.6,50.1
