,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr,id,year
1147,0,1,26.5,7.699999999999999,7.699999999999999,7.699999999999999,0.7,0.6875,11.0,0.0,,,8.0,Kendall Blanton,2022
1148,0,1,23.6,5.5998,5.5998,5.5998,0.6222,0.5625,9.0,0.0,,21.9,21.1,Kenny Yeboah,2022
1149,0,1,27.1,2.8002000000000002,1.4001000000000001,2.8002000000000002,0.23335,0.21875,6.0,0.0,,,14.2,Kevin Rader,2022
1150,0,1,30.4,1.6,1.0333333333333334,,,0.125,,0.0,,,17.3,Khari Lee,2022
1151,0,1,21.6,176.5994,176.5994,176.5994,10.3882,1.0625,17.0,0.0,1.04,19.9,24.1,Kyle Pitts,2022
1152,0,1,32.5,209.6,117.9374,59.6992,5.527066666666667,0.9097222222222222,16.0,0.125,2.11,,11.5,Kyle Rudolph,2022
1153,0,1,24.2,21.6002,21.6002,21.6002,1.2706,1.0625,17.0,0.0,4.22,18.4,21.5,Kylen Granson,2022
1154,0,1,32.0,104.0,66.86666666666666,,,0.6041666666666666,,0.0,4.15,18.3,34.1,Ladarius Green,2022
1155,0,1,34.3,110.4,58.20000000000001,,2.0,0.7053571428571429,,0.0,2.15,21.6,27.5,Lance Kendricks,2022
1156,0,1,33.6,153.6,81.60000000000001,,,0.6458333333333334,,0.0,,21.8,32.7,Larry Donnell,2022
1157,0,1,34.5,35.2,19.537599999999998,21.5008,1.7312666666666665,0.5555555555555556,16.0,0.0,5.28,,13.7,Lee Smith,2022
1158,0,1,30.8,64.5,32.699999999999996,,0.8,0.625,,0.0,4.36,20.1,21.7,Levine Toilolo,2022
1159,0,1,35.3,25.5,13.375,,,0.5625,,0.0,,,7.3,Logan Paulsen,2022
1160,0,1,22.6,12.6,12.6,12.6,0.84,0.9375,15.0,0.0,5.01,,7.5,Luke Farrell,2022
1161,0,1,33.9,43.2,15.61245,3.2004,0.7659666666666668,0.5972222222222222,12.0,0.0,4.07,21.1,14.2,Luke Stocker,2022
1162,0,1,32.4,76.80000000000001,36.55714285714286,,1.2874999999999999,0.6328125,,0.0,5.25,20.6,15.0,Luke Willson,2022
1163,0,1,38.0,86.4,43.262575000000005,44.400600000000004,2.7639333333333336,0.7638888888888888,17.0,0.0,1.28,21.3,26.1,Marcedes Lewis,2022
1164,0,1,32.3,1.8,1.8,,,0.0625,,0.0,,,9.2,Marcel Jensen,2022
1165,0,1,27.5,1.2,1.2,,0.15,0.5,,0.0,,,10.5,Marcus Baugh,2022
1166,0,1,26.7,301.1006,196.35014999999999,301.1006,14.553933333333333,0.9625,17.0,0.5,3.22,,18.0,Mark Andrews,2022
1167,0,1,35.2,217.6,139.625,,,0.8125,,0.25,2.3,18.5,27.3,Martellus Bennett,2022
1168,0,1,28.6,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,7.33,22.8,31.7,Mason Schreck,2022
1169,0,1,26.6,0.0,0.0,0.0,0.0,0.125,2.0,0.0,,21.8,21.5,Matt Bushman,2022
1170,0,1,27.2,2.4,2.4,,,0.125,,0.0,,,6.9,Matt Flanagan,2022
1171,0,1,29.7,54.6,18.36,0.0,2.0,0.3333333333333333,1.0,0.0,,,9.8,Matt LaCosse,2022
1172,0,1,31.4,10.5,10.35,,,0.28125,,0.0,,,7.0,Matt Lengel,2022
1173,0,1,26.5,0.0,0.0,,0.0,0.125,,0.0,,,6.2,Matt Sokol,2022
1174,0,1,37.4,1.8,1.0,,,0.125,,0.0,,22.6,14.7,Matthew Mulligan,2022
1175,0,1,28.1,65.0,33.87144285714286,41.3,4.7162999999999995,0.578125,5.0,0.0,2.23,19.4,48.8,Maxx Williams,2022
1176,0,1,33.9,35.0,19.933333333333334,,,0.5416666666666666,,0.0,5.01,,7.3,Michael Hoomanawanui,2022
1177,0,1,28.1,36.8,22.65,,,0.40625,,0.0,4.21,22.3,23.7,Michael Roberts,2022
1178,0,1,35.6,0.0,0.0,,,0.1875,,0.0,7.07,,8.0,Mickey Shuler,2022
1179,0,1,26.6,165.00029999999998,125.350075,165.00029999999998,9.808633333333333,0.95,17.0,0.0,2.1,21.9,21.5,Mike Gesicki,2022
1180,0,1,24.2,0.0,0.0,0.0,0.0,0.125,2.0,0.0,,,7.4,Miller Forristall,2022
