,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
10,Deshaun Watson,HOU,23,QB,16,16,11-5-2000,345,505,68.3,4165,26,5.1,9,1.8,215,73,8.2,8.5,12.1,260.3,103.1,61.8,62,384,10.9,6.67,6.87,5,5
11,Derek Carr,OAK,27,QB,16,16,4-12-2000,381,553,68.9,4049,19,3.4,10,1.8,197,66,7.3,7.2,10.6,253.1,93.9,46.5,51,299,8.4,6.21,6.09,3,3
12,Drew Brees,NOR,39,QB,15,15,13-2-0,364,489,74.4,3992,32,6.5,5,1,223,72,8.2,9,11,266.1,115.7,79.2,17,121,3.4,7.65,8.47,6,7
13,Case Keenum,DEN,30,QB,16,16,6-10-2000,365,586,62.3,3890,18,3.1,15,2.6,179,64,6.6,6.1,10.7,243.1,81.2,44.5,34,235,5.5,5.9,5.39,3,4
14,Dak Prescott,DAL,25,QB,16,16,10-6-2000,356,526,67.7,3885,22,4.2,8,1.5,206,90,7.4,7.5,10.9,242.8,96.9,55.2,56,347,9.6,6.08,6.22,3,5
15,Matthew Stafford,DET,30,QB,16,16,6-10-2000,367,555,66.1,3777,21,3.8,11,2,197,67,6.8,6.7,10.3,236.1,89.9,51.3,40,255,6.7,5.92,5.79,0,1
16,Baker Mayfield,CLE,23,QB,14,13,6-7-2000,310,486,63.8,3725,27,5.6,14,2.9,171,71,7.7,7.5,12,266.1,93.7,51.2,25,173,4.9,6.95,6.77,3,4
17,Russell Wilson,SEA,30,QB,16,16,10-6-2000,280,427,65.6,3448,35,8.2,7,1.6,162,66,8.1,9,12.3,215.5,110.9,63.3,51,355,10.7,6.47,7.28,2,4
18,Cam Newton,CAR,29,QB,14,14,6-8-2000,320,471,67.9,3395,24,5.1,13,2.8,180,82,7.2,7,10.6,242.5,94.2,53.2,29,213,5.8,6.36,6.15,2,2
19,Mitchell Trubisky,CHI,24,QB,14,14,11-3-2000,289,434,66.6,3223,24,5.5,12,2.8,163,70,7.4,7.3,11.2,230.2,95.4,71,24,143,5.2,6.72,6.59,1,2
20,Carson Wentz,PHI,26,QB,11,11,5-6-2000,279,401,69.6,3074,21,5.2,7,1.7,159,58,7.7,7.9,11,279.5,102.2,62,31,202,7.2,6.65,6.89,2,2
21,Jameis Winston,TAM,24,QB,11,9,3-6-2000,244,378,64.6,2992,19,5,14,3.7,152,64,7.9,7.3,12.3,272,90.2,66.2,27,157,6.7,7,6.38,0,1
22,Sam Darnold,NYJ,21,QB,13,13,4-9-2000,239,414,57.7,2865,17,4.1,15,3.6,130,76,6.9,6.1,12,220.4,77.6,45.9,30,204,6.8,5.99,5.24,1,1
23,Blake Bortles,JAX,26,QB,13,12,3-9-2000,243,403,60.3,2718,13,3.2,11,2.7,126,80,6.7,6.2,11.2,209.1,79.8,43.4,31,173,7.1,5.86,5.32,0,1
24,Andy Dalton,CIN,31,QB,11,11,5-6-2000,226,365,61.9,2566,21,5.8,11,3,132,49,7,6.8,11.4,233.3,89.6,59.4,21,157,5.4,6.24,6.05,3,4
25,Marcus Mariota,TEN,25,QB,14,13,7-6-2000,228,331,68.9,2528,11,3.3,8,2.4,121,61,7.6,7.2,11.1,180.6,92.3,53.2,42,243,11.3,6.13,5.75,2,3
26,Joe Flacco,BAL,33,QB,9,9,4-5-2000,232,379,61.2,2465,12,3.2,6,1.6,119,71,6.5,6.4,10.6,273.9,84.2,54.8,16,79,4.1,6.04,5.96,,
27,Ryan Fitzpatrick,TAM,36,QB,8,7,2-5-2000,164,246,66.7,2366,17,6.9,12,4.9,113,75,9.6,8.8,14.4,295.8,100.4,61,14,76,5.4,8.81,8.04,,
28,Josh Rosen,ARI,21,QB,14,13,3-10-2000,217,393,55.2,2278,11,2.8,14,3.6,112,75,5.8,4.8,10.5,162.7,66.7,24.1,45,320,10.3,4.47,3.53,1,2
30,Nick Mullens,SFO,23,QB,8,8,3-5-2000,176,274,64.2,2277,13,4.7,10,3.6,106,85,8.3,7.6,12.9,284.6,90.8,51.7,17,127,5.8,7.39,6.74,0,1
31,Alex Smith,WAS,34,QB,10,10,6-4-2000,205,328,62.5,2180,10,3,5,1.5,106,52,6.6,6.6,10.6,218,85.7,46.9,22,121,6.3,5.88,5.81,,
32,Josh Allen,BUF,22,QB,12,11,5-6-2000,169,320,52.8,2074,10,3.1,12,3.8,89,75,6.5,5.4,12.3,172.8,67.9,49.8,28,213,8,5.35,4.37,2,3
33,Ryan Tannehill,MIA,30,QB,11,11,5-6-2000,176,274,64.2,1979,17,6.2,9,3.3,92,75,7.2,7,11.2,179.9,92.7,33.2,35,279,11.3,5.5,5.29,3,3
34,Nick Foles,PHI,29,QB,5,5,4-1-2000,141,195,72.3,1413,7,3.6,4,2.1,87,83,7.2,7,10,282.6,96,65.4,9,47,4.4,6.7,6.5,2,2
35,C.J. Beathard,SFO,25,QB,6,5,0-5-0,102,169,60.4,1252,8,4.7,7,4.1,60,82,7.4,6.5,12.3,208.7,81.8,41.5,18,156,9.6,5.86,5.03,,
36,Brock Osweiler,MIA,28,QB,7,5,2-3-2000,113,178,63.5,1247,6,3.4,4,2.2,58,75,7,6.7,11,178.1,86,34.5,17,130,8.7,5.73,5.42,1,1
37,Lamar Jackson,BAL,21,QB,16,7,6-1-2000,99,170,58.2,1201,6,3.5,3,1.8,67,74,7.1,7,12.1,75.1,84.5,42.6,16,71,8.6,6.08,5.99,0,1
38,Jeff Driskel,CIN,25,QB,9,5,1-4-2000,105,176,59.7,1003,6,3.4,2,1.1,50,37,5.7,5.9,9.6,111.4,82.2,29.7,16,122,8.3,4.59,4.74,,
39,Jimmy Garoppolo,SFO,27,QB,3,3,1-2-2000,53,89,59.6,718,5,5.6,3,3.4,35,56,8.1,7.7,13.5,239.3,90,27.5,13,97,12.7,6.09,5.75,,
40,Cody Kessler,JAX,25,QB,5,4,2-2-2000,85,131,64.9,709,2,1.5,2,1.5,35,35,5.4,5,8.3,141.8,77.4,25.9,22,149,14.4,3.66,3.33,,
41,Blaine Gabbert,TEN,29,QB,8,3,2-1-2000,61,101,60.4,626,4,4,4,4,32,35,6.2,5.2,10.3,78.3,74.9,27,5,37,4.7,5.56,4.61,2,2
42,Josh Johnson,WAS,32,QB,4,3,1-2-2000,52,91,57.1,590,3,3.3,4,4.4,29,79,6.5,5.2,11.3,147.5,69.4,47.4,9,67,9,5.23,4.03,1,1
43,Josh McCown,NYJ,39,QB,4,3,0-3-0,60,110,54.5,539,1,0.9,4,3.6,27,41,4.9,3.4,9,134.8,55.8,33.8,7,35,6,4.31,2.94,,
44,Chase Daniel,CHI,32,QB,5,2,1-1-2000,53,76,69.7,515,3,3.9,2,2.6,23,46,6.8,6.4,9.7,103,90.6,27.5,9,40,10.6,5.59,5.24,1,0
45,Tyrod Taylor,CLE,29,QB,4,3,1-1-2001,42,85,49.4,473,2,2.4,2,2.4,17,47,5.6,5,11.3,118.3,64.5,27,13,81,13.3,4,3.49,1,0
46,Derek Anderson,BUF,35,QB,2,2,0-2-0,42,70,60,465,0,0,4,5.7,22,40,6.6,4.1,11.1,232.5,56,26.6,5,33,6.7,5.76,3.36,,
47,Sam Bradford,ARI,31,QB,3,3,0-3-0,50,80,62.5,400,2,2.5,4,5,16,35,5,3.3,8,133.3,62.5,27.9,6,33,7,4.27,2.64,,
48,Colt McCoy,WAS,32,QB,3,2,0-2-0,34,54,63,372,3,5.6,3,5.6,17,53,6.9,5.5,10.9,124,78.6,38.8,6,36,10,5.6,4.35,,
49,Taylor Heinicke,CAR,25,QB,6,1,0-1-0,35,57,61.4,320,1,1.8,3,5.3,19,33,5.6,3.6,9.1,53.3,60.6,18.3,2,17,3.4,5.14,3.19,,
50,Nathan Peterman,BUF,24,QB,4,2,0-2-0,44,81,54.3,296,1,1.2,7,8.6,13,26,3.7,0,6.7,74,30.7,8,7,34,8,2.98,-0.38,,
51,Kyle Allen,CAR,22,QB,2,1,1-0-0,20,31,64.5,266,2,6.5,0,0,11,53,8.6,9.9,13.3,133,113.1,95.2,0,0,0,8.58,9.87,,
52,Matt Barkley,BUF,28,QB,1,1,1-0-0,15,25,60,232,2,8,0,0,12,47,9.3,10.9,15.5,232,117.4,85.8,1,8,3.8,8.62,10.15,,
53,DeShone Kizer,GNB,22,QB,3,0,,20,42,47.6,187,0,0,2,4.8,8,29,4.5,2.3,9.4,62.3,40.5,25.5,4,38,8.7,3.24,1.28,,
54,Mike Glennon,ARI,29,QB,2,0,,15,21,71.4,174,1,4.8,0,0,8,26,8.3,9.2,11.6,87,112,75,1,8,4.5,7.55,8.45,,
55,Mark Sanchez,WAS,32,QB,2,1,0-1-0,19,35,54.3,138,0,0,3,8.6,3,20,3.9,0.1,7.3,69,28,4.5,7,42,16.7,2.29,-0.93,,
56,Teddy Bridgewater,NOR,26,QB,5,1,0-1-0,14,23,60.9,118,1,4.3,1,4.3,8,18,5.1,4,8.4,23.6,70.6,31.3,2,8,8,4.4,3.4,,
