,rb?,te?,age,max_ppg,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,Breakout Age,cdr,id,year
460,0,0,27.3,0.8,,0.8,0.0,,,15.4,Bobo Wilson,2022.0
461,0,0,29.5,,,,,,21.7,22.2,Bradley Marquez,2022.0
462,0,0,28.7,15.4667,14.4875,12.784733333333335,0.3333333333333333,1.2,18.9,38.9,Brandin Cooks,2022.0
463,0,0,24.2,15.375,10.0176,12.6963,0.5,1.25,21.5,40.6,Brandon Aiyuk,2022.0
464,0,0,29.9,,,,,,19.2,26.7,Brandon Coleman,2022.0
465,0,0,34.8,,,,,6.21,19.1,35.1,Brandon Gibson,2022.0
466,0,0,35.6,,,,,3.14,21.8,45.7,Brandon LaFell,2022.0
467,0,0,40.9,,,,,4.25,20.2,32.2,Brandon Lloyd,2022.0
468,0,0,38.2,,,,,4.22,21.5,42.5,Brandon Marshall,2022.0
469,0,0,26.7,1.9733,1.0,1.48665,0.0,,22.0,25.3,Brandon Powell,2022.0
470,0,0,34.7,,,,,3.19,19.9,20.0,Brandon Tate,2022.0
471,0,0,29.2,3.7692,3.7692,2.6272333333333333,0.0,,20.5,38.6,Brandon Zylstra,2022.0
472,0,0,26.7,7.5687,7.5687,4.883299999999999,0.0,6.36,21.9,28.1,Braxton Berrios,2022.0
473,0,0,29.5,,,,,3.22,,14.8,Braxton Miller,2022.0
474,0,0,27.6,,,,,3.37,,4.0,Brendan Langley,2022.0
475,0,0,32.1,,,,,,19.3,54.3,Brenton Bersin,2022.0
476,0,0,28.7,9.9,5.5667,7.908333333333334,0.0,1.26,20.0,36.6,Breshad Perriman,2022.0
477,0,0,35.5,,,,,4.08,20.8,25.0,Brian Hartline,2022.0
478,0,0,33.0,,,,,2.01,20.3,48.4,Brian Quick,2022.0
479,0,0,33.3,,,,,,22.5,20.1,Brian Tyms,2022.0
480,0,0,32.3,,,,,7.03,,17.1,Brice Butler,2022.0
481,0,0,33.9,,,,,,23.1,32.4,Brittan Golden,2022.0
482,0,0,30.8,,,,,4.06,21.0,27.5,Bruce Ellington,2022.0
483,0,0,23.5,6.8188,6.8188,4.9219,0.0,3.17,17.8,48.4,Bryan Edwards,2022.0
484,0,0,34.6,,,,,,21.8,52.1,Bryan Walters,2022.0
485,0,0,28.1,,,,,,,17.7,Bryce Treggs,2022.0
486,0,0,28.5,7.4588,7.4588,4.837533333333333,0.0,,22.8,37.7,Byron Pringle,2022.0
487,0,0,28.5,2.5,1.6167,1.8817666666666666,0.0,,21.7,23.4,C.J. Board,2022.0
488,0,0,36.7,,,,,1.02,19.9,55.3,Calvin Johnson,2022.0
489,0,0,27.4,18.7667,14.22,15.995566666666667,0.3333333333333333,1.26,20.7,30.1,Calvin Ridley,2022.0
490,0,0,26.5,,,,,,18.7,34.8,Cam Phillips,2022.0
