,y,rb?,te?,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,injury_risk,last_yr_games_played,hit_rate,Draft Pick,Breakout Age,cdr
863,0,0,0,23.7,26.400000000000002,26.400000000000002,26.400000000000002,2.2,0.75,12.0,0.0,7.22,20.0,31.5
867,0,0,0,22.9,,,,,,,,4.24,22.1,22.2
870,0,0,0,26.1,200.0,157.19999999999996,156.79999999999998,10.633333333333333,0.9166666666666666,14.0,0.0,,20.3,34.8
871,0,0,0,24.2,,,,,,,,6.25,18.4,31.1
872,0,0,0,25.1,99.0,99.0,99.0,9.0,0.6875,11.0,0.0,,21.3,18.1
875,0,0,0,27.1,265.6,165.57999999999998,265.6,13.1,0.8875,16.0,0.0,2.09,18.4,31.6
882,0,0,0,23.4,12.6,12.6,12.6,1.8,0.4375,7.0,0.0,6.2,,14.2
883,0,0,0,28.7,69.6,35.64,40.6,5.033333333333334,0.5625,7.0,0.0,,,10.7
885,0,0,0,28.5,126.4,58.5,74.2,4.8999999999999995,0.7625,14.0,0.0,5.02,21.7,45.3
886,0,0,0,24.6,68.8,38.4,68.8,2.4,1.0,16.0,0.0,4.27,21.8,24.6
889,0,0,0,26.0,218.4,152.4,115.0,10.566666666666668,0.775,10.0,0.0,1.04,18.2,34.2
892,0,0,0,21.8,,,,,,,,6.35,19.1,41.5
894,0,0,0,28.3,110.4,103.525,106.5,6.599999999999999,0.96875,15.0,0.0,,22.5,35.6
902,0,0,0,24.5,,,,,,,,,22.8,36.9
904,0,0,0,22.7,,,,,,,,,21.0,37.5
906,0,0,0,25.5,264.0,201.5,264.0,15.566666666666668,0.859375,15.0,0.0,5.1,18.8,36.1
907,0,0,0,26.3,184.0,169.63333333333335,180.8,11.966666666666669,0.8958333333333334,16.0,0.0,2.09,20.6,33.2
910,0,0,0,25.1,,,,,,,,,,17.9
911,0,0,0,22.2,,,,,,,,,19.4,29.8
913,0,0,0,26.9,75.39999999999999,41.8,50.400000000000006,4.933333333333334,0.59375,12.0,0.0,6.13,21.1,33.4
914,0,0,0,29.5,272.0,231.32000000000002,239.40000000000003,15.033333333333333,0.9625,14.0,0.0,3.29,18.8,41.9
915,0,0,0,24.4,105.6,88.05,70.5,5.65,0.96875,15.0,0.0,5.01,18.7,37.8
919,0,0,0,28.3,152.0,106.0,152.0,8.766666666666666,0.9,16.0,0.0,,20.6,28.7
920,0,0,0,24.3,87.10000000000001,68.35000000000001,87.10000000000001,4.9,0.90625,13.0,0.0,3.08,20.5,38.6
921,0,0,0,34.1,184.5,117.2,50.5,10.200000000000001,0.8375,5.0,0.0,1.09,20.4,28.5
926,0,0,0,23.7,,,,,,,,3.12,,17.7
927,0,0,0,26.5,,,,,,,,,,12.2
928,0,0,0,25.5,60.0,60.0,60.0,6.0,0.625,10.0,0.0,,22.8,38.1
935,0,0,0,29.4,192.0,111.88,40.8,6.8999999999999995,0.925,12.0,0.0,4.05,,19.0
936,0,0,0,23.7,,,,,,,,6.11,21.0,36.0
939,0,0,0,22.9,100.10000000000001,100.10000000000001,100.10000000000001,7.7,0.8125,13.0,0.0,3.27,19.2,33.0
940,0,0,0,23.3,46.4,46.4,46.4,5.8,0.5,8.0,0.0,,19.5,25.7
943,0,0,0,25.9,13.5,7.7,0.0,0.7000000000000001,0.5208333333333334,2.0,0.0,5.26,19.2,14.7
944,0,0,0,23.5,22.5,22.5,22.5,7.5,0.1875,3.0,0.0,7.38,21.8,34.7
948,0,0,0,24.6,221.20000000000002,134.33333333333334,221.20000000000002,9.766666666666667,0.8333333333333334,14.0,0.0,2.24,18.8,42.7
950,0,0,0,26.7,220.8,154.325,220.8,9.833333333333334,0.984375,16.0,0.0,3.05,19.9,44.2
951,0,0,0,25.3,328.0,255.46666666666667,328.0,16.3,0.9791666666666666,16.0,0.3333333333333333,5.28,,19.4
952,0,0,0,27.3,217.6,127.55,138.0,10.466666666666667,0.765625,15.0,0.0,,20.6,30.5
956,0,0,0,22.8,,,,,,,,,20.0,23.3
961,0,0,0,23.0,20.0,20.0,20.0,5.0,0.25,4.0,0.0,,19.2,32.4
965,0,0,0,25.1,121.79999999999998,113.73333333333333,106.39999999999999,11.733333333333334,0.6458333333333334,7.0,0.0,1.21,20.4,46.7
966,0,0,0,26.6,192.0,130.775,134.4,8.1,0.8125,14.0,0.0,,19.9,39.4
967,0,0,0,24.5,66.3,66.3,66.3,5.1,0.8125,13.0,0.0,,19.7,34.3
968,0,0,0,24.2,163.2,116.6,163.2,7.6,0.9375,16.0,0.0,2.05,20.4,37.1
