,Full Name,0,1,fpts_2021
190,D.J. Montgomery,0.9892575,0.010742467,6.6000000000000005
191,Tommy Tremble,0.9894434,0.010556579,53.1008
192,Eno Benjamin,0.98955667,0.010443303,27.9999
193,Darrell Henderson,0.9895746,0.010425406,163.4004
194,Dax Milne,0.9896363,0.01036371,15.3998
195,Colby Parkinson,0.9897199,0.010280094,8.3006
196,Amon-Ra St. Brown,0.98983467,0.010165334,227.3002
197,Keelan Cole,0.98990244,0.010097544,78.89999999999999
198,Parris Campbell,0.99008113,0.009918842,32.200199999999995
199,David Moore,0.990097,0.009903,0.0
200,Tylan Wallace,0.99039984,0.0096001355,4.299300000000001
201,J.D. McKissic,0.9904173,0.009582679,127.9003
202,Kevin White,0.9904834,0.009516623,4.800000000000001
203,Latavius Murray,0.99049157,0.009508414,103.60000000000001
204,Jaelon Darden,0.9906202,0.009379821,11.4003
205,Isaiah Hodgins,0.99084365,0.009156336,0.0
206,JaQuan Hardy,0.9909575,0.009042505,8.9001
207,Greg Ward,0.9910031,0.008996918,34.5797
208,Noah Gray,0.9910071,0.008992905,16.6
209,C.J. Uzomah,0.9910746,0.008925402,128.3008
210,Marquez Valdes-Scantling,0.9912012,0.008798795,87.00009999999999
211,Phillip Lindsay,0.9912347,0.008765281,45.400600000000004
212,Josh Gordon,0.99129456,0.008705428,14.1996
213,Austin Hooper,0.99134856,0.008651421,92.4992
214,Marquez Stevenson,0.9915332,0.008466785,0.0
215,Allen Lazard,0.99160224,0.008397732,142.5
216,Anthony Schwartz,0.99168676,0.008313247,33.3998
217,Deon Jackson,0.9917389,0.008261086,9.1
218,Josh Reynolds,0.99176794,0.008232037,80.60040000000001
219,Jauan Jennings,0.99201345,0.007986571,82.2
220,Darrynton Evans,0.992032,0.00796802,3.8
221,J.J. Taylor,0.99206626,0.007933729,18.5
222,Mohamed Sanu,0.99207294,0.007927037,32.7
223,Josh Johnson,0.99219006,0.0078099566,0.0
224,Josh Johnson,0.99219006,0.0078099566,0.0
225,Carlos Hyde,0.99224,0.007760001,45.800399999999996
226,Giovani Bernard,0.9922478,0.007752158,59.099999999999994
227,Hunter Kampmoyer,0.99231315,0.00768684,0.0
228,Larry Rountree,0.9923425,0.0076575186,15.600000000000001
229,Jake Funk,0.99255586,0.007444137,0.5
230,Gary Brightwell,0.99255586,0.007444137,1.9993999999999998
231,Jalen Camp,0.9926157,0.0073842783,0.0
232,Frank Darby,0.9926157,0.0073842783,2.4
233,Lamical Perine,0.9927478,0.0072522033,3.1
234,Anthony McFarland,0.9927478,0.0072522033,2.4
235,Will Dissly,0.9929211,0.0070788716,50.099999999999994
236,Hayden Hurst,0.9931915,0.0068085473,64.1004
237,Donald Parham,0.9932331,0.006766908,59.00019999999999
238,Damarea Crockett,0.993269,0.006730945,0.6996
