,id,0,1,Full Name,Team,starter
72,Colt McCoy,0.9928303,0.007169723,Colt McCoy,Arizona Cardinals,0
73,Nathan Peterman,0.9929155,0.0070845075,Nathan Peterman,Las Vegas Raiders,0
74,Josh Rosen,0.9929455,0.007054537,Josh Rosen,Atlanta Falcons,0
75,Jeff Driskel,0.99301004,0.0069899634,Jeff Driskel,Houston Texans,0
76,Brett Rypien,0.993635,0.0063650124,Brett Rypien,Denver Broncos,0
77,P.J. Walker,0.993635,0.0063650124,P.J. Walker,Carolina Panthers,0
78,Kevin Hogan,0.993635,0.0063650124,Kevin Hogan,Tennessee Titans,0
79,Logan Woodside,0.993635,0.0063650124,Logan Woodside,Tennessee Titans,0
80,Chris Streveler,0.993635,0.0063650124,Chris Streveler,Arizona Cardinals,0
81,David Blough,0.993635,0.0063650124,David Blough,Detroit Lions,0
82,Davis Webb,0.993635,0.0063650124,Davis Webb,Buffalo Bills,0
83,Mike White,0.993635,0.0063650124,Mike White,New York Jets,0
84,Tim Boyle,0.993635,0.0063650124,Tim Boyle,Detroit Lions,0
