,id,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,value
94,001c348c-bec8-46d6-82fd-917522ca6d6b,John,Metchie,187.2,69.13160132,WR83,WR,Houston Texans,93.2
95,f72d3197-cf49-470d-bcfc-20ad464e10e3,A.J.,Dillon,74.9,67.7825547,RB25,RB,Green Bay Packers,-20.1
96,b3169143-5c20-4fae-a04a-b508a63c9495,Tony,Pollard,90.5,66.4892452,RB29,RB,Dallas Cowboys,-5.5
97,1e284465-7739-47d0-be69-93e709456858,Mike,Gesicki,130.2,65.2409852,TE13,TE,Miami Dolphins,33.2
98,b37c69fc-cb99-4749-9177-9d20bb347acc,Mecole,Hardman,124.4,64.5516112,WR58,WR,Kansas City Chiefs,26.4
99,8e3c7545-106d-45b2-8069-f975193390c3,Clyde,Edwards-Helaire,77.4,61.4447892,RB26,RB,Kansas City Chiefs,-21.6
100,6de13661-21c7-4797-bcff-28fec8acca98,Russell,Gage,89.2,60.9921292,WR43,WR,Tampa Bay Buccaneers,-10.8
101,9dff7e14-719a-417f-a067-a35510cbef92,Saquon,Barkley,26.3,59.87894132,RB13,RB,NY Giants,-74.7
102,44786cc3-94ea-4c7c-a6fb-069510ed54bb,Josh,Palmer,161.7,56.4257632,WR73,WR,Los Angeles Chargers,59.7
103,caf3a993-fa92-4f0c-8163-c5076693b070,Chuba,Hubbard,215,54.74878727,RB69,RB,Carolina Panthers,112
104,7860408b-cdf1-4109-9833-4f52d7fab416,James,Robinson,162.6,54.70433927,RB49,RB,Jacksonville Jaguars,58.6
105,38127ce3-7fff-4271-83f2-f4e21cdc33b9,Calvin,Ridley,216,53.99811067,WR153,WR,Atlanta Falcons,111
106,642b08da-ea00-48a0-a742-962920fa4466,Garrett,Wilson,99.6,53.61748527,WR47,WR,NY Jets,-6.4
107,b33b1cbb-3d2c-466e-b423-400a3d62b37e,Chris,Olave,97.4,53.12056727,WR46,WR,New Orleans Saints,-9.6
108,6498000e-b8d2-49e6-b327-ebec7ad816e7,Hunter,Henry,154.9,53.09970267,TE19,TE,New England Patriots,46.9
109,56bda0f4-4bc7-40c8-9979-fcda5d31dba4,DeAndre,Hopkins,75.6,52.5131052,WR38,WR,Arizona Cardinals,-33.4
110,434f74e0-5ac4-4439-84bd-83a7c43162b6,Corey,Davis,156.4,52.27629327,WR70,WR,NY Jets,46.4
111,a40bc6ed-7dd6-4490-af01-98e87ae7a372,Zack,Moss,215.9,51.8422552,RB94,RB,Buffalo Bills,104.9
112,365a5b14-a2f3-45eb-8f91-4c989f2bb039,Trey,Lance,91.7,51.813312,QB11,QB,San Francisco 49ers,-20.3
113,6f6e85b9-4054-4207-b838-f52732cf8bd6,Robert,Woods,104.7,51.0822327,WR50,WR,Tennessee Titans,-8.3
114,d1889c23-c9ab-497c-b269-afab9aee3fb2,Derek,Carr,108.4,50.279796,QB14,QB,Las Vegas Raiders,-5.6
115,84bd4702-cdd6-4049-a61d-c8058d8ed2e9,Courtland,Sutton,41.6,50.2745687,WR20,WR,Denver Broncos,-73.4
116,0a366caa-62a9-488b-9253-0bbc9770023e,Tyquan,Thornton,215.2,49.71321067,WR109,WR,New England Patriots,99.2
117,797500e2-d6bc-45d3-9f1d-2fada115afe0,Van,Jefferson,140,49.28911944,WR64,WR,Los Angeles Rams,23
118,7fce62b6-df57-4a75-8790-70b5254d60e2,Wan'Dale,Robinson,182.4,48.2533762,WR80,WR,NY Giants,64.4
119,ad304b49-90e0-4ae5-b4eb-3d2e1f02c0d2,Tua,Tagovailoa,134.6,48.166899,QB18,QB,Miami Dolphins,15.6
120,ea9d9c68-4ddf-4501-b4f5-e6f8be4034b9,George,Pickens,156.9,48.12632962,WR71,WR,Pittsburgh Steelers,36.9
121,85f439db-fe5d-4900-a0ee-30c02a452e9f,Cole,Kmet,146.9,46.91015867,TE17,TE,Chicago Bears,25.9
122,4980eaec-3ec0-4041-8221-0e56bde98bda,Ronald,Jones,129.1,46.0112792,RB41,RB,Kansas City Chiefs,7.1
123,06ab07a8-68c7-4a0e-99cb-ed6723591584,Dawson,Knox,100.2,45.16120562,TE9,TE,Buffalo Bills,-22.8
124,4685a80c-a123-4a30-83bf-3bb44a502e9f,Drake,London,68.5,44.85911467,WR33,WR,Atlanta Falcons,-55.5
125,0f81acce-4934-4dca-844b-d85bbbc2e430,Chase,Edmonds,109.7,43.49354362,RB35,RB,Miami Dolphins,-15.3
126,e34e7b64-cbfe-4ac4-af38-9cd65ef6a4e5,Rondale,Moore,118.3,42.74366962,WR56,WR,Arizona Cardinals,-7.7
127,6cdd154e-0d4a-478f-a51b-37ace50eadb3,Julius,Chestnut,216,41.1299467,RB98,RB,Tennessee Titans,89
128,094c894e-d839-43ea-bb3a-3db3a9bad8a9,Cordarrelle,Patterson,92.1,40.86581867,RB30,RB,Atlanta Falcons,-35.9
129,d7c817ad-4ca5-47c5-a458-65f1d441e3fd,Austin,Hooper,201.2,39.8387587,TE27,TE,Tennessee Titans,72.2
130,d0bc7edc-bddc-4107-9d8b-e23acffbcd35,Christian,Watson,107.2,39.8099067,WR52,WR,Green Bay Packers,-22.8
