,y,starter,age,max_pts,avg_pts,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,supporting_cast,breakout_age,konami,games_played_rate
70,0,1,32.1,350.4,298.1333333333333,350.4,18.633333333333333,0.3333333333333333,1.03,1.9356944,20.3,0.0,1.0
71,0,0,27.5,166.4,89.60000000000001,7.0,11.9,0.0,3.11,0.759392533,21.7,0.0,0.4166666666666667
72,0,1,22.8,,,,,,1.02,0.759392533,22.0,,
0,0,0,27.7,57.4,30.0,2.6,4.75,0.0,5.24,0.6417359970000001,21.0,0.0,0.28125
1,0,0,35.0,50.5,17.95,0.6,1.5,0.0,6.39,0.6417359970000001,19.2,0.0,0.25
2,0,1,22.0,,,,,,1.07,0.6417359970000001,20.3,,
3,1,1,34.5,382.4,293.95,135.8,20.7,0.75,1.24,1.087887432,19.8,1.75,0.859375
4,0,0,22.4,198.0,198.0,198.0,13.2,0.0,2.2,1.087887432,19.7,5.0,0.9375
5,0,1,34.1,300.0,257.025,300.0,17.433333333333334,0.0,1.01,0.6591259780000001,19.3,2.25,0.953125
6,0,0,31.799999999999997,66.0,37.4,,4.4,0.0,3.21,0.6591259780000001,20.0,0.5,0.21875
7,0,0,31.6,150.3,62.93333333333334,,6.550000000000001,0.0,1.05,0.6591259780000001,21.8,0.3333333333333333,0.2916666666666667
8,1,1,28.700000000000003,368.0,275.06666666666666,,20.6,0.6666666666666666,1.01,0.634443823,20.0,1.6666666666666667,0.7916666666666666
9,0,0,25.5,212.8,120.5,212.8,11.350000000000001,0.0,3.29,0.634443823,21.7,2.5,0.59375
10,0,1,30.6,268.8,245.525,222.4,16.666666666666668,0.0,2.03,0.904149959,20.9,2.75,0.953125
11,0,0,25.1,,,,,,6.32,0.904149959,18.4,,
12,0,0,27.7,84.7,29.533333333333335,,6.7,0.0,4.01,0.904149959,20.0,0.0,0.22916666666666666
13,0,1,23.1,,,,,,1.01,1.590642064,18.4,,
14,0,0,28.799999999999997,274.4,193.39999999999998,226.5,17.633333333333333,0.0,6.15,1.590642064,20.1,3.5,0.703125
15,1,1,36.3,305.6,265.65,270.0,18.5,0.25,1.11,1.437954871,19.5,0.25,0.890625
16,0,0,23.4,,,,,,4.29,1.437954871,19.6,,
17,0,0,28.6,136.8,71.725,65.5,14.433333333333335,0.0,1.1,0.738946277,19.9,0.75,0.3125
18,0,1,24.6,268.5,235.70000000000002,225.0,16.900000000000002,0.0,1.02,0.738946277,18.9,3.0,0.875
19,0,1,26.4,332.8,263.45000000000005,256.0,18.133333333333336,0.25,1.03,0.861946731,20.7,1.75,0.96875
20,0,0,25.1,77.4,40.650000000000006,3.9,4.95,0.0,3.31,0.861946731,20.3,0.0,0.375
21,0,0,34.6,68.4,45.2,,11.4,0.0,1.22,1.107937445,26.9,0.5,0.3125
22,1,1,22.7,172.9,172.9,172.9,24.7,0.0,1.12,1.107937445,20.0,2.0,0.4375
23,0,0,31.6,5.7,1.925,5.7,0.6666666666666666,0.0,6.3,1.107937445,21.8,0.0,0.15625
24,0,0,32.6,173.8,122.75000000000001,68.0,11.966666666666667,0.0,,1.015516674,,0.25,0.640625
25,0,1,40.8,352.0,298.9,299.2,20.733333333333334,0.25,6.33,1.015516674,21.1,0.75,0.9375
26,0,0,27.5,184.5,95.475,69.0,13.033333333333333,0.0,2.25,0.648341569,20.8,1.0,0.515625
27,0,1,29.9,291.2,252.86666666666665,,16.05,0.0,1.08,0.648341569,22.1,1.0,0.9375
28,0,0,24.5,94.8,94.8,94.8,15.8,0.0,3.4,0.189780585,21.8,3.0,0.375
29,0,1,26.6,91.8,34.55,91.8,7.0,0.0,2.3,0.189780585,19.8,0.25,0.328125
