,id_x,firstName,lastName,adp,projectedPoints,positionRank,slotName,teamName,lineupStatus,byeWeek
3,62154a84-9ad4-41f8-b3f3-23801013ebc8,Justin,Jefferson,4.1,214.4124858117676,WR2,WR,Minnesota Vikings,,
24,8d9ff2b9-d63f-4645-84c8-e5e05413b93e,Nick,Chubb,25.8,213.75096563842774,RB12,RB,Cleveland Browns,,
103,fffb17af-f368-4b09-8aa4-e119998f6e01,Aaron,Rodgers,103.6,210.437232,QB13,QB,Green Bay Packers,,
63,a1309c81-c3c7-41bd-a8fc-4482a1bed951,Antonio,Gibson,65.9,207.3209950046387,RB23,RB,Washington Commanders,,
4,6022e5bc-a85c-471a-b78b-a66066f24ce4,Ja'Marr,Chase,5.1,205.30418464904787,WR3,WR,Cincinnati Bengals,,
13,72a1b950-f005-419c-b67f-08d7f7f5df27,Joe,Mixon,13.4,203.9630044165039,RB7,RB,Cincinnati Bengals,,
32,4a165d4b-b5f1-4d10-863f-4df84cd90fd2,James,Conner,32.9,202.8592706245117,RB15,RB,Arizona Cardinals,,
35,6a60f97f-e16f-44dd-bcc1-da885f8ae2b0,Marquise,Brown,36.4,202.18894285766604,WR17,WR,Arizona Cardinals,,
23,aa6f212c-a39b-441d-b9ed-4c4f76a9e718,Tee,Higgins,23.9,197.67742464904785,WR11,WR,Cincinnati Bengals,,
20,f76e9085-98bd-4a81-ab2c-aaf7310d9a6d,Tyreek,Hill,21.7,195.3187783378601,WR9,WR,Miami Dolphins,,
89,6d236cf4-3026-4dad-aa5e-e2ed3a3dcad2,Tyler,Lockett,90.3,191.53246427520753,WR44,WR,Seattle Seahawks,,
33,5c9f516c-4bf7-40b2-b9e1-50675a5b8988,Jaylen,Waddle,35.1,189.27987427520753,WR15,WR,Miami Dolphins,,
43,78b2ca61-7ec2-43fc-8456-607b0cb95a89,D.K.,Metcalf,44.5,187.6781842752075,WR21,WR,Seattle Seahawks,,
62,59109372-112c-4226-8a1e-bdb13389e7d8,Jalen,Hurts,63.6,187.283511,QB6,QB,Philadelphia Eagles,,
21,8be0f709-c335-4e99-aca6-a2a6e9eae205,Leonard,Fournette,22.5,185.7836213269043,RB11,RB,Tampa Bay Buccaneers,,
12,fce90658-25d8-4bc2-aec4-242a8784e910,CeeDee,Lamb,13.4,182.8495917713623,WR6,WR,Dallas Cowboys,,
45,e7711ec6-eee2-4df3-bf09-58166bcfba99,Terry,McLaurin,46,180.98962222973634,WR22,WR,Washington Commanders,,
54,464cf22b-8a6e-486c-bd56-ba38b76a7d1c,Chris,Godwin,53.7,179.44300891067505,WR26,WR,Tampa Bay Buccaneers,,
38,d014ebbf-3fb8-4c05-8526-8c1de9009261,Ezekiel,Elliott,41,178.76444965686034,RB16,RB,Dallas Cowboys,,
76,96100e46-cf7b-4e90-9254-59245d37fe31,Russell,Wilson,76.7,175.97410200000002,QB8,QB,Denver Broncos,,
18,fb9af657-c47a-4d72-8146-20b8bd6e5f49,Mike,Evans,18.4,169.65716540023806,WR8,WR,Tampa Bay Buccaneers,,
67,1a6e0e13-cfeb-46f6-a9e8-c7483f2b7bb3,Joe,Burrow,69.2,163.87644,QB7,QB,Cincinnati Bengals,,
46,9196bc1d-374f-4701-8e8a-1646e4e2e65a,Amari,Cooper,48,161.49702336791992,WR23,WR,Cleveland Browns,,
27,319fcf5c-6a5f-4598-93da-1f287ce6ba54,Keenan,Allen,27.3,160.5026651188965,WR12,WR,Los Angeles Chargers,,
84,36f843c7-40b3-43bd-84b8-14274e0d4e98,Dak,Prescott,85.8,158.0628,QB10,QB,Dallas Cowboys,,
5,40f907c8-711d-4f93-93f7-e268d966fe42,Austin,Ekeler,6.5,143.8731757458496,RB3,RB,Los Angeles Chargers,,
16,7fde70e8-ab8e-4064-99fb-3ddd88e5dc9f,Deebo,Samuel,17.4,143.3777726547241,WR7,WR,San Francisco 49ers,,
113,799e8f24-9514-4aa6-8bb7-dcbcd3a385b7,Tyler,Boyd,111.3,142.90851944091796,WR53,WR,Cincinnati Bengals,,
72,a629f60e-bb1c-4252-a852-9317c61ce37d,Dalton,Schultz,72.5,142.44054649780273,TE6,TE,Dallas Cowboys,,
85,0e88b6cc-b68a-4329-a6f9-6964990e29d7,Christian,Kirk,87.5,141.8106796232605,WR42,WR,Jacksonville Jaguars,,
69,7d1b182a-93f7-4acb-bfff-576d71ab6d68,Elijah,Mitchell,70.9,138.46350284228515,RB24,RB,San Francisco 49ers,,
86,bb069a8d-1733-4d33-ace3-cd092f079426,Kenneth,Walker,87.8,135.192820446167,RB28,RB,Seattle Seahawks,,
87,bb069a8d-1733-4d33-ace3-cd092f079426,Kenneth,Walker,87.8,135.192820446167,RB28,RB,Seattle Seahawks,,
29,91372bfe-bbe8-4435-90ed-bbc90c4461b9,Mike,Williams,29.3,126.99910733291627,WR13,WR,Los Angeles Chargers,,
53,3dcb0cec-9e44-4ba6-bdff-cb5826c2c320,David,Montgomery,53.5,125.10606298530578,RB20,RB,Chicago Bears,,
60,5fc9caf6-8317-481e-b469-4d0b4c9cd44f,Darnell,Mooney,61.5,124.99556962905883,WR30,WR,Chicago Bears,,
121,0778e723-5dab-40b0-b9f9-8f686fd457e6,Kirk,Cousins,122.5,117.626418,QB16,QB,Minnesota Vikings,,
105,3089ad59-9356-4ca8-850f-578c7baa11e8,Devin,Singletary,105.6,112.54078291046143,RB33,RB,Buffalo Bills,,
94,387a5dea-dcca-4417-a460-1f990a8fb66b,Dallas,Goedert,95,111.39581824945068,TE8,TE,Philadelphia Eagles,,
64,8e2a56bb-c4f3-4949-84a9-74d6fd7ed845,Michael,Thomas,66.8,109.31040877807618,WR31,WR,New Orleans Saints,,
48,c8286c88-b565-46d8-9afc-c20f6df77c06,Breece,Hall,48.7,108.60048144067383,RB18,RB,NY Jets,,
140,0dfe35fd-33f6-446a-8370-9d93910ab150,Michael,Carter,141.3,108.54426144067382,RB44,RB,NY Jets,,
50,82cf78e8-a308-4394-8788-e4dea7f10430,Travis,Etienne,50.7,108.38651344067382,RB19,RB,Jacksonville Jaguars,,
65,63586d56-48eb-4c0a-898a-964775420023,Elijah,Moore,67.6,108.14785383078002,WR32,WR,NY Jets,,
96,7d152585-7ea8-41e6-87fb-8f149f3a18fa,Damien,Harris,95.9,106.78670252807618,RB31,RB,New England Patriots,,
115,1c31065d-af90-48ce-98cd-e687329cc7a0,Jameson,Williams,115.4,105.52759870440674,WR55,WR,Detroit Lions,,
31,fde04e99-8c3e-46e1-8540-2e1d83e5dce3,Kyle,Pitts,31.7,104.50676669650268,TE3,TE,Atlanta Falcons,,
78,8dda67e5-1af0-4b27-ac58-b02ca41d87bf,Tom,Brady,78.5,104.40600599999999,QB9,QB,Tampa Bay Buccaneers,,
204,1cfe4063-9e32-4be7-8619-6b492a501d08,Sony,Michel,205.9,104.16504664001465,RB61,RB,Miami Dolphins,,
125,a209bb00-40a4-435b-b879-9235bc122823,Pat,Freiermuth,124.7,103.99267860021973,TE12,TE,Pittsburgh Steelers,,
2,715fd9c0-eb4b-494a-ac9f-d5c53579db72,Christian,McCaffrey,3.2,100.42543492889405,RB2,RB,Carolina Panthers,,
106,0cc30377-88da-4b7a-bdc5-7b72e2fc0f00,Chase,Claypool,106.1,99.19082460021973,WR51,WR,Pittsburgh Steelers,,
57,9b2b05ca-01b4-4dca-aae3-c3805ff4d55d,J.K.,Dobbins,57,98.29632136938476,RB21,RB,Baltimore Ravens,,
170,8512cb8c-8a41-452e-9c09-2b7881473c51,Noah,Fant,170.4,97.1547509949646,TE21,TE,Seattle Seahawks,,
80,8275d1d3-9c8c-433a-9734-914fe3df4c7f,Miles,Sanders,80.4,95.64640643359375,RB27,RB,Philadelphia Eagles,,
234,ee69ff40-840c-41a5-a0d4-df9e34c0e554,Mitchell,Trubisky,215.1,94.197939,QB31,QB,Pittsburgh Steelers,,
199,5e7117ed-0900-4ad1-ac49-c81b9e0d270e,Laviska,Shenault,202.3,92.97984596395874,WR89,WR,Jacksonville Jaguars,,
79,3554433b-dccc-453c-97ca-a0122d410db6,Brandon,Aiyuk,78.8,92.26417660021973,WR39,WR,San Francisco 49ers,,
109,b771553e-96bf-40f8-8ef6-1d54a9d973c9,James,Cook,108.5,91.95335533404541,RB34,RB,Buffalo Bills,,
171,e160003b-5fe7-4f18-8001-d6f0cb046be1,Darrel,Williams,171.1,91.12588333404541,RB53,RB,Arizona Cardinals,,
68,3dc764fc-d118-4e7e-a9bd-28fd2eae95c1,Amon-Ra,St. Brown,70.2,89.72472847937011,WR34,WR,Detroit Lions,,
47,e8337714-ca74-40e8-ba6e-e224b065519e,George,Kittle,48.2,88.79094990496826,TE5,TE,San Francisco 49ers,,
82,c40c5898-0a51-4e21-9ad5-069ace88998f,T.J.,Hockenson,83.7,84.58024351293945,TE7,TE,Detroit Lions,,
83,73caefce-7dbd-4e74-957b-ba83a3e3e7f5,Skyy,Moore,85.6,80.8896422062378,WR41,WR,Kansas City Chiefs,,
176,187c2005-ea96-4d79-8f0c-74ff330c6722,Ryan,Tannehill,180.6,71.790294,QB24,QB,Tennessee Titans,,
163,608395a4-1901-4b80-86d7-996014553c1a,Matt,Ryan,165.3,69.448476,QB21,QB,Indianapolis Colts,,
58,c8eced77-b09d-4d8f-9205-29c2f4a25368,Brandin,Cooks,57.8,69.3980593197937,WR29,WR,Houston Texans,,
184,001c348c-bec8-46d6-82fd-917522ca6d6b,John,Metchie,187.2,69.1316013197937,WR83,WR,Houston Texans,,
74,f72d3197-cf49-470d-bcfc-20ad464e10e3,A.J.,Dillon,74.9,67.78255469598389,RB25,RB,Green Bay Packers,,
90,b3169143-5c20-4fae-a04a-b508a63c9495,Tony,Pollard,90.5,66.48924519577027,RB29,RB,Dallas Cowboys,,
130,1e284465-7739-47d0-be69-93e709456858,Mike,Gesicki,130.2,65.24098519577026,TE13,TE,Miami Dolphins,,
123,b37c69fc-cb99-4749-9177-9d20bb347acc,Mecole,Hardman,124.4,64.55161119577026,WR58,WR,Kansas City Chiefs,,
77,8e3c7545-106d-45b2-8069-f975193390c3,Clyde,Edwards-Helaire,77.4,61.44478919577026,RB26,RB,Kansas City Chiefs,,
88,6de13661-21c7-4797-bcff-28fec8acca98,Russell,Gage,89.2,60.99212919577026,WR43,WR,Tampa Bay Buccaneers,,
25,9dff7e14-719a-417f-a067-a35510cbef92,Saquon,Barkley,26.3,59.8789413197937,RB13,RB,NY Giants,,
160,44786cc3-94ea-4c7c-a6fb-069510ed54bb,Josh,Palmer,161.7,56.42576319577026,WR73,WR,Los Angeles Chargers,,
233,caf3a993-fa92-4f0c-8163-c5076693b070,Chuba,Hubbard,215,54.748787271606446,RB69,RB,Carolina Panthers,,
161,7860408b-cdf1-4109-9833-4f52d7fab416,James,Robinson,162.6,54.70433927160645,RB49,RB,Jacksonville Jaguars,,
375,38127ce3-7fff-4271-83f2-f4e21cdc33b9,Calvin,Ridley,216,53.99811067492676,WR153,WR,Atlanta Falcons,,
99,642b08da-ea00-48a0-a742-962920fa4466,Garrett,Wilson,99.6,53.61748527160645,WR47,WR,NY Jets,,
98,b33b1cbb-3d2c-466e-b423-400a3d62b37e,Chris,Olave,97.4,53.12056727160645,WR46,WR,New Orleans Saints,,
154,6498000e-b8d2-49e6-b327-ebec7ad816e7,Hunter,Henry,154.9,53.09970267492675,TE19,TE,New England Patriots,,
75,56bda0f4-4bc7-40c8-9979-fcda5d31dba4,DeAndre,Hopkins,75.6,52.513105195770265,WR38,WR,Arizona Cardinals,,
155,434f74e0-5ac4-4439-84bd-83a7c43162b6,Corey,Davis,156.4,52.27629327160644,WR70,WR,NY Jets,,
304,a40bc6ed-7dd6-4490-af01-98e87ae7a372,Zack,Moss,215.9,51.842255195770264,RB94,RB,Buffalo Bills,,
91,365a5b14-a2f3-45eb-8f91-4c989f2bb039,Trey,Lance,91.7,51.813312,QB11,QB,San Francisco 49ers,,
104,6f6e85b9-4054-4207-b838-f52732cf8bd6,Robert,Woods,104.7,51.08223269598388,WR50,WR,Tennessee Titans,,
108,d1889c23-c9ab-497c-b269-afab9aee3fb2,Derek,Carr,108.4,50.279796,QB14,QB,Las Vegas Raiders,,
41,84bd4702-cdd6-4049-a61d-c8058d8ed2e9,Courtland,Sutton,41.6,50.27456869598389,WR20,WR,Denver Broncos,,
238,0a366caa-62a9-488b-9253-0bbc9770023e,Tyquan,Thornton,215.2,49.713210674926756,WR109,WR,New England Patriots,,
139,797500e2-d6bc-45d3-9f1d-2fada115afe0,Van,Jefferson,140,49.28911944380188,WR64,WR,Los Angeles Rams,,
179,7fce62b6-df57-4a75-8790-70b5254d60e2,Wan'Dale,Robinson,182.4,48.253376202407836,WR80,WR,NY Giants,,
134,ad304b49-90e0-4ae5-b4eb-3d2e1f02c0d2,Tua,Tagovailoa,134.6,48.166899,QB18,QB,Miami Dolphins,,
156,ea9d9c68-4ddf-4501-b4f5-e6f8be4034b9,George,Pickens,156.9,48.12632961732483,WR71,WR,Pittsburgh Steelers,,
147,85f439db-fe5d-4900-a0ee-30c02a452e9f,Cole,Kmet,146.9,46.910158674926755,TE17,TE,Chicago Bears,,
129,4980eaec-3ec0-4041-8221-0e56bde98bda,Ronald,Jones,129.1,46.011279195770264,RB41,RB,Kansas City Chiefs,,
101,06ab07a8-68c7-4a0e-99cb-ed6723591584,Dawson,Knox,100.2,45.161205617324825,TE9,TE,Buffalo Bills,,
66,4685a80c-a123-4a30-83bf-3bb44a502e9f,Drake,London,68.5,44.85911467492676,WR33,WR,Atlanta Falcons,,
110,0f81acce-4934-4dca-844b-d85bbbc2e430,Chase,Edmonds,109.7,43.49354361732483,RB35,RB,Miami Dolphins,,
117,e34e7b64-cbfe-4ac4-af38-9cd65ef6a4e5,Rondale,Moore,118.3,42.74366961732483,WR56,WR,Arizona Cardinals,,
334,6cdd154e-0d4a-478f-a51b-37ace50eadb3,Julius,Chestnut,216,41.12994669598388,RB98,RB,Tennessee Titans,,
92,094c894e-d839-43ea-bb3a-3db3a9bad8a9,Cordarrelle,Patterson,92.1,40.86581867492676,RB30,RB,Atlanta Falcons,,
197,d7c817ad-4ca5-47c5-a458-65f1d441e3fd,Austin,Hooper,201.2,39.838758695983884,TE27,TE,Tennessee Titans,,
107,d0bc7edc-bddc-4107-9d8b-e23acffbcd35,Christian,Watson,107.2,39.809906695983884,WR52,WR,Green Bay Packers,,
164,cb618523-b22c-40d6-825c-a0ced8339239,Tyrion,Davis-Price,165.6,38.37004161732483,RB50,RB,San Francisco 49ers,,
158,8a3572ad-6dd9-41a8-b10a-9e3a08c51a0a,Alec,Pierce,159.5,37.351173617324825,WR72,WR,Indianapolis Colts,,
151,73262cfc-d608-41ec-9e7c-d943b005ed6d,K.J.,Osborn,151.7,37.04602361732483,WR68,WR,Minnesota Vikings,,
71,4fa812b0-6025-4be1-8d18-c7ffd4e809db,Treylon,Burks,72.2,36.73897869598388,WR36,WR,Tennessee Titans,,
40,99520aa3-7f8b-4f6d-b9ee-20e5d93a293a,Jerry,Jeudy,41.5,36.19237869598389,WR19,WR,Denver Broncos,,
144,e9eddef5-97d8-4bb1-82a6-ee01fad8eb2a,Jahan,Dotson,143.8,36.12049849044799,WR65,WR,Washington Commanders,,
189,2e5f5210-fe46-43d8-96be-59ee217dcef7,Kendrick,Bourne,193.2,35.99128467492675,WR85,WR,New England Patriots,,
97,d59b3350-b448-4295-b4cf-dfa6924b7c65,Kareem,Hunt,97,35.60137361732483,RB32,RB,Cleveland Browns,,
182,c526e0f8-989f-42fd-8371-6f8d0ef019c2,Evan,Engram,184.8,35.18742249044799,TE24,TE,Jacksonville Jaguars,,
116,8a859a75-4198-4e3a-854b-784dce6b5c12,Rashaad,Penny,117.2,34.686172666915894,RB37,RB,Seattle Seahawks,,
112,7c1ae2b9-d7d0-403a-8e4d-11491efe3c71,Melvin,Gordon,110.8,34.27573869598389,RB36,RB,Denver Broncos,,
232,441a06ff-6630-4ca0-b034-1c9549538ea0,Terrace,Marshall,215,34.112014490448,WR107,WR,Carolina Panthers,,
175,2ea3b599-18c1-4dda-a833-1f23c73cf5c2,Jamaal,Williams,180,33.662964490448,RB54,RB,Detroit Lions,,
216,8d03fa8e-237f-400f-9ac0-af377d8a25d2,Kenyan,Drake,212.5,33.35886161732483,RB64,RB,Las Vegas Raiders,,
122,4e5411e9-68dc-400f-beeb-968e8a7e3cf2,Alexander,Mattison,123.8,33.088709617324824,RB39,RB,Minnesota Vikings,,
293,ced268be-84de-4700-9ba4-40645752b278,Myles,Gaskin,215.9,32.965549617324825,RB89,RB,Miami Dolphins,,
114,457cee57-e888-423f-9149-93c48c357a4a,Michael,Gallup,113.5,31.29518449708557,WR54,WR,Dallas Cowboys,,
93,3aaf419b-21c4-46ee-a11e-9a489b673b79,Matthew,Stafford,92.5,30.854682,QB12,QB,Los Angeles Rams,,
235,a85826fc-9b78-466c-8f60-cdb615c1c709,Trey,Sermon,215.1,30.696228497085574,RB70,RB,San Francisco 49ers,,
202,154cdf35-e606-46c6-9fb8-840265bacc03,James,Washington,204.6,29.28959449708557,WR92,WR,Dallas Cowboys,,
194,b642a6fb-b8d2-4ee3-8456-39a2c64d2364,D'Onta,Foreman,198.5,27.72793849708557,RB59,RB,Carolina Panthers,,
281,46aab98a-7d30-4ba0-8576-7902eb89b2d5,Tyler,Conklin,215.9,27.35357849708557,TE43,TE,NY Jets,,
211,f65d1b9b-c5b5-436a-923f-cdb0a0357d9c,Zay,Jones,211.4,27.062928497085572,WR96,WR,Jacksonville Jaguars,,
39,c170afa4-4767-405c-b005-4498480e7066,Darren,Waller,41.1,26.869100497085572,TE4,TE,Las Vegas Raiders,,
188,5e26c57d-42dd-406f-b53d-91095594e37a,Brian,Robinson,192.4,25.57278049708557,RB57,RB,Washington Commanders,,
131,2b6c0a54-bab3-4b69-b2f9-2dc2a9e30982,Rachaad,White,131.8,25.57278049708557,RB42,RB,Tampa Bay Buccaneers,,
207,01fd583b-8443-4655-a727-6a5b28e7621a,Bryan,Edwards,208.3,25.13442849708557,WR94,WR,Atlanta Falcons,,
246,f6bddcbd-f697-4bde-a65a-d2b6eb83797b,Marquez,Callaway,215.5,25.05423849708557,WR111,WR,New Orleans Saints,,
55,5b4b97b6-1e40-45ce-880d-6c6324cd5e78,JuJu,Smith-Schuster,55.9,24.465682497085574,WR27,WR,Kansas City Chiefs,,
301,198686d1-f9ea-4594-9be0-7fdc6a724d85,Geno,Smith,215.9,24.310682999999997,QB43,QB,Seattle Seahawks,,
162,e86c1ded-aef1-41f4-bbfe-c3a04d4b47c4,Tyler,Higbee,162.9,23.75922249708557,TE20,TE,Los Angeles Rams,,
347,80427c89-ba52-4081-9cbf-a11aa025ee74,Dyami,Brown,216,22.96521049708557,WR145,WR,Washington Commanders,,
335,982ba4ec-f6d4-4fff-8f66-054ef4715196,Duke,Johnson,216,22.80676449708557,RB98,RB,Buffalo Bills,,
95,1dcdafa9-9c27-4326-8c2b-055534c924b3,Allen,Lazard,95.6,22.64859849708557,WR45,WR,Green Bay Packers,,
198,6d985cdb-03f3-4365-ae50-dbd6a121540f,Carson,Wentz,202,21.3084765,QB27,QB,Washington Commanders,,
135,035c99ef-ed2a-4fcd-aa6f-e752f4565695,Jakobi,Meyers,135,21.274963297085574,WR62,WR,New England Patriots,,
274,d8598cac-2435-455d-8228-69596f8815f3,Sam,Darnold,215.8,20.519077799999998,QB37,QB,Carolina Panthers,,
56,d330fe75-a322-48a6-8405-b6ea91bfa1f4,Rashod,Bateman,57,20.464246497085572,WR28,WR,Baltimore Ravens,,
217,37006fee-0ca2-4b77-a6e8-8a9de3e2cec1,Sterling,Shepard,212.6,19.963154681388854,WR97,WR,NY Giants,,
399,bd47b6e7-f8ff-4fb5-b866-b6294742f31a,David,Johnson,-,19.770201681388855,,RB,Houston Texans,,
227,271a93c2-3775-4e4d-bff3-f22cbe7d4e93,Trey,McBride,214.4,19.591950497085573,TE32,TE,Arizona Cardinals,,
329,41f9b2df-6fc9-45b3-bb57-c1eb83181332,Jalen,Reagor,216,19.588954497085574,WR138,WR,Philadelphia Eagles,,
132,55701da9-c8f9-4686-bc96-916da04ad7af,DeVante,Parker,132.7,19.57443249708557,WR61,WR,New England Patriots,,
120,d2b0f785-a66a-4a9e-a4a7-981c410ff57f,Rhamondre,Stevenson,121.1,18.975791697085572,RB38,RB,New England Patriots,,
149,1d6861cd-be8b-410c-a955-ffb5b4b761a6,D.J.,Chark,148.8,18.70789049708557,WR67,WR,Detroit Lions,,
180,b136d3c5-a1ab-440d-9278-854f6a88e660,Sammy,Watkins,182.9,18.679748497085573,WR81,WR,Green Bay Packers,,
348,762e67cf-43b5-4e89-8bd6-b3574422a611,D'Wayne,Eskridge,216,17.513672497085572,WR145,WR,Seattle Seahawks,,
427,63011cb0-777f-4a47-bf03-417d579b6b0d,Devontae,Booker,-,17.387123681388857,,RB,,,
261,57b58b3c-832f-4981-9461-b521b67c836e,Nelson,Agholor,215.8,16.82305369708557,WR116,WR,New England Patriots,,
145,b7fb9920-b031-4007-b4f9-15d6413527d1,Darrell,Henderson,145.5,16.66998749708557,RB46,RB,Los Angeles Rams,,
190,231dc1e5-aad9-4b0c-8c34-04b5e023c086,Julio,Jones,195,16.222243681388854,WR86,WR,,,
498,52eebf9e-e588-43b8-a27f-765ff03fa77c,Ty,Montgomery,-,15.678604497085571,,WR,New England Patriots,,
1187,e3b379c9-ba35-46db-915e-3d0962932112,T.J.,Yeldon,-,15.560249681388854,,RB,,,
174,02d5920d-8bfe-443c-9fdd-3478be323b5e,Curtis,Samuel,174.6,15.44686049708557,WR78,WR,Washington Commanders,,
142,84fdc0c2-e34b-4ef6-88cb-0f29ab1dae18,Nyheim,Hines,142,15.36847529708557,RB45,RB,Indianapolis Colts,,
457,ddc64115-e017-41e7-bcf4-ea95fc8f8839,Ameer,Abdullah,-,15.021029497085571,,RB,Las Vegas Raiders,,
49,53e0b811-7f47-40e9-8b6b-91311efd69b7,Allen,Robinson,48.7,14.529064497085573,WR24,WR,Los Angeles Rams,,
150,16c8ca1c-ab73-40fa-942a-0181ecebc784,David,Njoku,150.4,14.41889449708557,TE18,TE,Cleveland Browns,,
251,45afa77f-8510-4aa0-b15c-b705a7dec949,Ke'Shawn,Vaughn,215.6,14.313330497085571,RB76,RB,Tampa Bay Buccaneers,,
286,24ad78d6-6cfe-440b-9714-2bd77f38e41c,Boston,Scott,215.9,14.128384497085571,RB87,RB,Philadelphia Eagles,,
239,e6d2bbaa-71d1-4f1b-9745-e92d457aba7d,Jonnu,Smith,215.2,14.012048497085571,TE33,TE,New England Patriots,,
357,a942eb67-718c-4ad9-8b5e-99ff60a94253,Giovani,Bernard,216,13.703134497085571,RB109,RB,Tampa Bay Buccaneers,,
451,c3e07cd0-8268-43d4-a914-68975578f1d9,Jordan,Howard,-,13.56518369708557,,RB,Philadelphia Eagles,,
127,aad61bd2-f7dc-4181-8b48-c46ad9495cfc,Jarvis,Landry,128.5,13.44726849708557,WR60,WR,New Orleans Saints,,
51,9479a38d-5400-43b0-9b1d-ce6fa16289a4,Gabriel,Davis,51.8,13.23020349708557,WR25,WR,Buffalo Bills,,
393,a33f2873-a6df-4bac-bd35-c59902688e07,Chris,Conley,-,13.14591509708557,,WR,Houston Texans,,
277,6d53f0cf-d4cf-4fe5-b5f9-60585dfcb126,Tutu,Atwell,215.8,12.989453497085572,WR121,WR,Los Angeles Rams,,
446,e92ccca1-9fbe-43e0-8164-055ac68c01e7,Anthony,Miller,-,12.723587097085572,,WR,Pittsburgh Steelers,,
342,7ca7eb81-2631-408f-a905-24004613adfe,Keelan,Cole,216,12.706845697085571,WR145,WR,NY Jets,,
447,5ca0bd63-c97e-45be-a337-c15cbb68e288,Royce,Freeman,-,12.68755909708557,,RB,Houston Texans,,
146,01a03308-8295-4b53-8624-21a8f07c111b,Jalen,Tolbert,145.6,12.146643897085571,WR66,WR,Dallas Cowboys,,
159,d85685e0-9769-4366-b73d-a4242d96e7de,Kenneth,Gainwell,160.3,11.32600789708557,RB48,RB,Philadelphia Eagles,,
458,f31ed47b-9c24-4ac1-89c5-000c862c02f6,Jeremy,Ruckert,-,11.29586129708557,,TE,NY Jets,,
